=> Saving data in Logs/FRL~try=513
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL_label_flip
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 230 | malicious users: 4 | test acc 0.8259 test loss 0.867543 best test_acc 0.9221
e 231 | malicious users: 6 | test acc 0.9129 test loss 0.708367 best test_acc 0.9221
e 232 | malicious users: 4 | test acc 0.9270 test loss 0.576974 best test_acc 0.9270
e 233 | malicious users: 3 | test acc 0.8944 test loss 0.672222 best test_acc 0.9270
e 234 | malicious users: 6 | test acc 0.7938 test loss 0.752160 best test_acc 0.9270
e 235 | malicious users: 4 | test acc 0.8509 test loss 0.676578 best test_acc 0.9270
e 236 | malicious users: 5 | test acc 0.8383 test loss 0.751151 best test_acc 0.9270
e 237 | malicious users: 7 | test acc 0.7953 test loss 0.844155 best test_acc 0.9270
e 238 | malicious users: 10 | test acc 0.7786 test loss 1.125944 best test_acc 0.9270
e 239 | malicious users: 6 | test acc 0.8692 test loss 0.910451 best test_acc 0.9270
e 240 | malicious users: 4 | test acc 0.8349 test loss 0.851450 best test_acc 0.9270
e 241 | malicious users: 5 | test acc 0.8565 test loss 0.732377 best test_acc 0.9270
e 242 | malicious users: 6 | test acc 0.8644 test loss 0.918267 best test_acc 0.9270
e 243 | malicious users: 2 | test acc 0.8906 test loss 0.818891 best test_acc 0.9270
e 244 | malicious users: 4 | test acc 0.8234 test loss 0.860487 best test_acc 0.9270
e 245 | malicious users: 8 | test acc 0.8456 test loss 0.905409 best test_acc 0.9270
e 246 | malicious users: 5 | test acc 0.7368 test loss 0.902895 best test_acc 0.9270
e 247 | malicious users: 6 | test acc 0.8156 test loss 0.767043 best test_acc 0.9270
e 248 | malicious users: 6 | test acc 0.8530 test loss 0.817881 best test_acc 0.9270
e 249 | malicious users: 6 | test acc 0.8961 test loss 0.819903 best test_acc 0.9270
e 250 | malicious users: 8 | test acc 0.8235 test loss 0.955744 best test_acc 0.9270
e 251 | malicious users: 5 | test acc 0.7717 test loss 0.923358 best test_acc 0.9270
e 252 | malicious users: 4 | test acc 0.8888 test loss 0.744909 best test_acc 0.9270
e 253 | malicious users: 4 | test acc 0.8261 test loss 0.790846 best test_acc 0.9270
e 254 | malicious users: 5 | test acc 0.8162 test loss 0.849126 best test_acc 0.9270
e 255 | malicious users: 4 | test acc 0.8920 test loss 0.904844 best test_acc 0.9270
e 256 | malicious users: 9 | test acc 0.8229 test loss 0.812434 best test_acc 0.9270
e 257 | malicious users: 4 | test acc 0.9126 test loss 0.833833 best test_acc 0.9270
e 258 | malicious users: 11 | test acc 0.7077 test loss 1.075977 best test_acc 0.9270
e 259 | malicious users: 5 | test acc 0.8050 test loss 0.878217 best test_acc 0.9270
e 260 | malicious users: 4 | test acc 0.9006 test loss 0.792410 best test_acc 0.9270
e 261 | malicious users: 6 | test acc 0.7224 test loss 0.861438 best test_acc 0.9270
e 262 | malicious users: 4 | test acc 0.7577 test loss 0.898545 best test_acc 0.9270
e 263 | malicious users: 8 | test acc 0.7731 test loss 0.879550 best test_acc 0.9270
e 264 | malicious users: 6 | test acc 0.8772 test loss 0.768001 best test_acc 0.9270
e 265 | malicious users: 4 | test acc 0.8482 test loss 0.967229 best test_acc 0.9270
e 266 | malicious users: 8 | test acc 0.7601 test loss 0.874865 best test_acc 0.9270
e 267 | malicious users: 2 | test acc 0.8619 test loss 0.842686 best test_acc 0.9270
e 268 | malicious users: 2 | test acc 0.9248 test loss 0.631853 best test_acc 0.9270
e 269 | malicious users: 4 | test acc 0.8920 test loss 0.779037 best test_acc 0.9270
e 270 | malicious users: 9 | test acc 0.7828 test loss 0.852536 best test_acc 0.9270
e 271 | malicious users: 4 | test acc 0.8506 test loss 0.830170 best test_acc 0.9270
e 272 | malicious users: 3 | test acc 0.9224 test loss 0.872998 best test_acc 0.9270
e 273 | malicious users: 1 | test acc 0.8458 test loss 0.743927 best test_acc 0.9270
e 274 | malicious users: 4 | test acc 0.9004 test loss 0.750259 best test_acc 0.9270
e 275 | malicious users: 7 | test acc 0.7316 test loss 0.745894 best test_acc 0.9270
e 276 | malicious users: 5 | test acc 0.8953 test loss 0.640875 best test_acc 0.9270
e 277 | malicious users: 6 | test acc 0.8123 test loss 0.884406 best test_acc 0.9270
e 278 | malicious users: 4 | test acc 0.9233 test loss 0.818913 best test_acc 0.9270
e 279 | malicious users: 8 | test acc 0.8624 test loss 0.828456 best test_acc 0.9270
