=> Saving data in Logs/FRL~try=830
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL_label_flip_fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 134 | malicious users: 3 | test acc 0.7296 test loss 1.023842 best test_acc 0.9329
e 135 | malicious users: 2 | test acc 0.8433 test loss 0.880545 best test_acc 0.9329
e 136 | malicious users: 4 | test acc 0.8134 test loss 0.909022 best test_acc 0.9329
e 137 | malicious users: 5 | test acc 0.8890 test loss 0.771360 best test_acc 0.9329
e 138 | malicious users: 3 | test acc 0.9304 test loss 0.809133 best test_acc 0.9329
e 139 | malicious users: 3 | test acc 0.9032 test loss 0.759867 best test_acc 0.9329
e 140 | malicious users: 7 | test acc 0.8251 test loss 1.125423 best test_acc 0.9329
e 141 | malicious users: 3 | test acc 0.9134 test loss 0.880360 best test_acc 0.9329
e 142 | malicious users: 6 | test acc 0.7943 test loss 1.056757 best test_acc 0.9329
e 143 | malicious users: 10 | test acc 0.7425 test loss 1.205047 best test_acc 0.9329
e 144 | malicious users: 4 | test acc 0.9071 test loss 0.941701 best test_acc 0.9329
e 145 | malicious users: 5 | test acc 0.8287 test loss 0.854323 best test_acc 0.9329
e 146 | malicious users: 6 | test acc 0.8493 test loss 0.997845 best test_acc 0.9329
e 147 | malicious users: 6 | test acc 0.8707 test loss 1.065411 best test_acc 0.9329
e 148 | malicious users: 3 | test acc 0.9259 test loss 0.795130 best test_acc 0.9329
e 149 | malicious users: 6 | test acc 0.8457 test loss 0.892533 best test_acc 0.9329
e 150 | malicious users: 5 | test acc 0.6844 test loss 0.993664 best test_acc 0.9329
e 151 | malicious users: 3 | test acc 0.8307 test loss 0.905560 best test_acc 0.9329
e 152 | malicious users: 7 | test acc 0.7636 test loss 0.882725 best test_acc 0.9329
e 153 | malicious users: 5 | test acc 0.8976 test loss 0.949238 best test_acc 0.9329
e 154 | malicious users: 2 | test acc 0.9262 test loss 0.667845 best test_acc 0.9329
e 155 | malicious users: 6 | test acc 0.8631 test loss 0.741279 best test_acc 0.9329
e 156 | malicious users: 4 | test acc 0.8940 test loss 0.771316 best test_acc 0.9329
e 157 | malicious users: 3 | test acc 0.9400 test loss 0.754381 best test_acc 0.9400
e 158 | malicious users: 1 | test acc 0.8173 test loss 0.834790 best test_acc 0.9400
e 159 | malicious users: 6 | test acc 0.7873 test loss 0.971020 best test_acc 0.9400
e 160 | malicious users: 8 | test acc 0.7891 test loss 0.954914 best test_acc 0.9400
e 161 | malicious users: 4 | test acc 0.9065 test loss 0.866626 best test_acc 0.9400
e 162 | malicious users: 5 | test acc 0.9087 test loss 0.760448 best test_acc 0.9400
e 163 | malicious users: 6 | test acc 0.8227 test loss 0.884264 best test_acc 0.9400
e 164 | malicious users: 2 | test acc 0.9091 test loss 0.613147 best test_acc 0.9400
e 165 | malicious users: 6 | test acc 0.9082 test loss 1.000347 best test_acc 0.9400
e 166 | malicious users: 3 | test acc 0.9192 test loss 0.802823 best test_acc 0.9400
