=> Saving data in Logs/FRL~try=798
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRP_defense
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 166 | malicious users: 5 | test acc 0.7481 test loss 1.010313 best test_acc 0.9026
e 167 | malicious users: 5 | test acc 0.7008 test loss 0.900279 best test_acc 0.9026
e 168 | malicious users: 5 | test acc 0.8234 test loss 0.755213 best test_acc 0.9026
e 169 | malicious users: 5 | test acc 0.6787 test loss 0.868158 best test_acc 0.9026
e 170 | malicious users: 5 | test acc 0.7866 test loss 0.830175 best test_acc 0.9026
e 171 | malicious users: 5 | test acc 0.7689 test loss 0.758797 best test_acc 0.9026
e 172 | malicious users: 5 | test acc 0.8717 test loss 0.811682 best test_acc 0.9026
e 173 | malicious users: 5 | test acc 0.8715 test loss 0.894050 best test_acc 0.9026
e 174 | malicious users: 5 | test acc 0.8660 test loss 0.937608 best test_acc 0.9026
e 175 | malicious users: 5 | test acc 0.6840 test loss 1.025181 best test_acc 0.9026
e 176 | malicious users: 5 | test acc 0.8843 test loss 0.879932 best test_acc 0.9026
e 177 | malicious users: 5 | test acc 0.8389 test loss 0.977454 best test_acc 0.9026
e 178 | malicious users: 5 | test acc 0.8061 test loss 0.886338 best test_acc 0.9026
e 179 | malicious users: 5 | test acc 0.8506 test loss 0.969399 best test_acc 0.9026
e 180 | malicious users: 5 | test acc 0.7199 test loss 0.912409 best test_acc 0.9026
e 181 | malicious users: 5 | test acc 0.6378 test loss 1.187947 best test_acc 0.9026
e 182 | malicious users: 5 | test acc 0.8434 test loss 0.838567 best test_acc 0.9026
e 183 | malicious users: 5 | test acc 0.8345 test loss 0.747916 best test_acc 0.9026
e 184 | malicious users: 5 | test acc 0.8284 test loss 1.025949 best test_acc 0.9026
e 185 | malicious users: 5 | test acc 0.8600 test loss 0.806396 best test_acc 0.9026
e 186 | malicious users: 5 | test acc 0.6911 test loss 0.836941 best test_acc 0.9026
e 187 | malicious users: 5 | test acc 0.7419 test loss 1.066057 best test_acc 0.9026
e 188 | malicious users: 5 | test acc 0.8656 test loss 0.874882 best test_acc 0.9026
e 189 | malicious users: 5 | test acc 0.8494 test loss 0.856660 best test_acc 0.9026
e 190 | malicious users: 5 | test acc 0.8476 test loss 0.870224 best test_acc 0.9026
e 191 | malicious users: 5 | test acc 0.7779 test loss 0.956078 best test_acc 0.9026
e 192 | malicious users: 5 | test acc 0.8830 test loss 0.738182 best test_acc 0.9026
e 193 | malicious users: 5 | test acc 0.6962 test loss 0.995432 best test_acc 0.9026
e 194 | malicious users: 5 | test acc 0.7862 test loss 0.827173 best test_acc 0.9026
e 195 | malicious users: 5 | test acc 0.8236 test loss 0.777944 best test_acc 0.9026
e 196 | malicious users: 5 | test acc 0.8859 test loss 0.779737 best test_acc 0.9026
e 197 | malicious users: 5 | test acc 0.6297 test loss 0.982626 best test_acc 0.9026
e 198 | malicious users: 5 | test acc 0.7638 test loss 0.713422 best test_acc 0.9026
e 199 | malicious users: 5 | test acc 0.6845 test loss 0.957241 best test_acc 0.9026
e 200 | malicious users: 5 | test acc 0.7175 test loss 0.907078 best test_acc 0.9026
e 201 | malicious users: 5 | test acc 0.7506 test loss 0.877608 best test_acc 0.9026
