=> Saving data in Logs/FRL~try=858
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks_Fang
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 89 | malicious users: 5 | test acc 0.7168 test loss 1.007191 best test_acc 0.8896
e 90 | malicious users: 5 | test acc 0.7508 test loss 0.851970 best test_acc 0.8896
e 91 | malicious users: 5 | test acc 0.6473 test loss 0.957277 best test_acc 0.8896
e 92 | malicious users: 5 | test acc 0.7897 test loss 0.858491 best test_acc 0.8896
e 93 | malicious users: 5 | test acc 0.6918 test loss 0.950522 best test_acc 0.8896
e 94 | malicious users: 5 | test acc 0.8543 test loss 0.839074 best test_acc 0.8896
e 95 | malicious users: 5 | test acc 0.9081 test loss 0.536401 best test_acc 0.9081
e 96 | malicious users: 5 | test acc 0.8956 test loss 0.605764 best test_acc 0.9081
e 97 | malicious users: 5 | test acc 0.7488 test loss 0.981243 best test_acc 0.9081
e 98 | malicious users: 5 | test acc 0.8039 test loss 0.802534 best test_acc 0.9081
e 99 | malicious users: 5 | test acc 0.7580 test loss 0.883426 best test_acc 0.9081
e 100 | malicious users: 5 | test acc 0.8622 test loss 0.692147 best test_acc 0.9081
e 101 | malicious users: 5 | test acc 0.8399 test loss 0.603260 best test_acc 0.9081
e 102 | malicious users: 5 | test acc 0.8251 test loss 0.913895 best test_acc 0.9081
e 103 | malicious users: 5 | test acc 0.7012 test loss 0.904432 best test_acc 0.9081
e 104 | malicious users: 5 | test acc 0.7332 test loss 1.124138 best test_acc 0.9081
e 105 | malicious users: 5 | test acc 0.8064 test loss 0.808571 best test_acc 0.9081
e 106 | malicious users: 5 | test acc 0.8428 test loss 0.668442 best test_acc 0.9081
e 107 | malicious users: 5 | test acc 0.8038 test loss 0.959038 best test_acc 0.9081
e 108 | malicious users: 5 | test acc 0.8358 test loss 0.893380 best test_acc 0.9081
e 109 | malicious users: 5 | test acc 0.7447 test loss 0.682267 best test_acc 0.9081
e 110 | malicious users: 5 | test acc 0.8586 test loss 0.619425 best test_acc 0.9081
e 111 | malicious users: 5 | test acc 0.7475 test loss 0.943542 best test_acc 0.9081
e 112 | malicious users: 5 | test acc 0.7310 test loss 0.926446 best test_acc 0.9081
e 113 | malicious users: 5 | test acc 0.8521 test loss 0.704933 best test_acc 0.9081
e 114 | malicious users: 5 | test acc 0.7243 test loss 0.660858 best test_acc 0.9081
e 115 | malicious users: 5 | test acc 0.6791 test loss 0.923388 best test_acc 0.9081
e 116 | malicious users: 5 | test acc 0.8322 test loss 0.650781 best test_acc 0.9081
e 117 | malicious users: 5 | test acc 0.7159 test loss 0.863665 best test_acc 0.9081
e 118 | malicious users: 5 | test acc 0.7727 test loss 0.997862 best test_acc 0.9081
e 119 | malicious users: 5 | test acc 0.7155 test loss 0.740969 best test_acc 0.9081
e 120 | malicious users: 5 | test acc 0.7486 test loss 0.943265 best test_acc 0.9081
e 121 | malicious users: 5 | test acc 0.8887 test loss 0.640131 best test_acc 0.9081
e 122 | malicious users: 5 | test acc 0.8288 test loss 0.925435 best test_acc 0.9081
e 123 | malicious users: 5 | test acc 0.8803 test loss 0.862316 best test_acc 0.9081
e 124 | malicious users: 5 | test acc 0.8352 test loss 0.772138 best test_acc 0.9081
e 125 | malicious users: 5 | test acc 0.7114 test loss 0.997374 best test_acc 0.9081
e 126 | malicious users: 5 | test acc 0.8573 test loss 0.688455 best test_acc 0.9081
e 127 | malicious users: 5 | test acc 0.8905 test loss 0.723299 best test_acc 0.9081
e 128 | malicious users: 5 | test acc 0.7545 test loss 0.749396 best test_acc 0.9081
e 129 | malicious users: 5 | test acc 0.6069 test loss 1.218467 best test_acc 0.9081
e 130 | malicious users: 5 | test acc 0.9052 test loss 0.909598 best test_acc 0.9081
e 131 | malicious users: 5 | test acc 0.8468 test loss 0.556627 best test_acc 0.9081
e 132 | malicious users: 5 | test acc 0.8610 test loss 0.669796 best test_acc 0.9081
e 133 | malicious users: 5 | test acc 0.8340 test loss 0.646363 best test_acc 0.9081
e 134 | malicious users: 5 | test acc 0.8064 test loss 0.984478 best test_acc 0.9081
e 135 | malicious users: 5 | test acc 0.8664 test loss 0.623782 best test_acc 0.9081
e 136 | malicious users: 5 | test acc 0.8337 test loss 0.656219 best test_acc 0.9081
e 137 | malicious users: 5 | test acc 0.7514 test loss 1.012940 best test_acc 0.9081
e 138 | malicious users: 5 | test acc 0.7203 test loss 0.878241 best test_acc 0.9081
e 139 | malicious users: 5 | test acc 0.9193 test loss 0.571144 best test_acc 0.9193
e 140 | malicious users: 5 | test acc 0.7694 test loss 1.012264 best test_acc 0.9193
e 141 | malicious users: 5 | test acc 0.8063 test loss 0.798773 best test_acc 0.9193
e 142 | malicious users: 5 | test acc 0.7230 test loss 0.943927 best test_acc 0.9193
e 143 | malicious users: 5 | test acc 0.6592 test loss 1.099296 best test_acc 0.9193
e 144 | malicious users: 5 | test acc 0.7622 test loss 0.977961 best test_acc 0.9193
e 145 | malicious users: 5 | test acc 0.7018 test loss 0.925674 best test_acc 0.9193
e 146 | malicious users: 5 | test acc 0.8555 test loss 0.962039 best test_acc 0.9193
e 147 | malicious users: 5 | test acc 0.7690 test loss 0.918770 best test_acc 0.9193
e 148 | malicious users: 5 | test acc 0.7886 test loss 0.792458 best test_acc 0.9193
e 149 | malicious users: 5 | test acc 0.7359 test loss 0.851291 best test_acc 0.9193
e 150 | malicious users: 5 | test acc 0.5029 test loss 1.155004 best test_acc 0.9193
e 151 | malicious users: 5 | test acc 0.8822 test loss 0.730623 best test_acc 0.9193
e 152 | malicious users: 5 | test acc 0.8111 test loss 0.806542 best test_acc 0.9193
