=> Saving data in Logs/FRL~try=925
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  FRL
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 136 | malicious users: 6 | test acc 0.7759 test loss 1.120077 best test_acc 0.9241
e 137 | malicious users: 8 | test acc 0.7962 test loss 1.030925 best test_acc 0.9241
e 138 | malicious users: 6 | test acc 0.7994 test loss 1.084702 best test_acc 0.9241
e 139 | malicious users: 6 | test acc 0.7734 test loss 0.953207 best test_acc 0.9241
e 140 | malicious users: 5 | test acc 0.7982 test loss 0.786319 best test_acc 0.9241
e 141 | malicious users: 6 | test acc 0.8593 test loss 0.785431 best test_acc 0.9241
e 142 | malicious users: 3 | test acc 0.8616 test loss 0.848419 best test_acc 0.9241
e 143 | malicious users: 4 | test acc 0.8995 test loss 0.657030 best test_acc 0.9241
e 144 | malicious users: 3 | test acc 0.9035 test loss 0.729743 best test_acc 0.9241
e 145 | malicious users: 5 | test acc 0.8887 test loss 0.865455 best test_acc 0.9241
e 146 | malicious users: 8 | test acc 0.7530 test loss 0.902357 best test_acc 0.9241
e 147 | malicious users: 4 | test acc 0.8752 test loss 1.005894 best test_acc 0.9241
e 148 | malicious users: 6 | test acc 0.8852 test loss 0.723968 best test_acc 0.9241
e 149 | malicious users: 5 | test acc 0.8308 test loss 0.669490 best test_acc 0.9241
e 150 | malicious users: 5 | test acc 0.7764 test loss 0.860140 best test_acc 0.9241
e 151 | malicious users: 6 | test acc 0.7777 test loss 0.855564 best test_acc 0.9241
e 152 | malicious users: 5 | test acc 0.8594 test loss 0.836785 best test_acc 0.9241
e 153 | malicious users: 3 | test acc 0.8926 test loss 0.773841 best test_acc 0.9241
e 154 | malicious users: 5 | test acc 0.8915 test loss 0.685376 best test_acc 0.9241
e 155 | malicious users: 3 | test acc 0.8349 test loss 0.779156 best test_acc 0.9241
e 156 | malicious users: 5 | test acc 0.7584 test loss 0.831598 best test_acc 0.9241
e 157 | malicious users: 7 | test acc 0.8330 test loss 0.753774 best test_acc 0.9241
e 158 | malicious users: 1 | test acc 0.8591 test loss 0.826470 best test_acc 0.9241
e 159 | malicious users: 3 | test acc 0.9083 test loss 0.715335 best test_acc 0.9241
e 160 | malicious users: 5 | test acc 0.8948 test loss 0.875848 best test_acc 0.9241
e 161 | malicious users: 5 | test acc 0.8330 test loss 0.725577 best test_acc 0.9241
e 162 | malicious users: 8 | test acc 0.5775 test loss 1.101088 best test_acc 0.9241
e 163 | malicious users: 3 | test acc 0.9130 test loss 0.735803 best test_acc 0.9241
e 164 | malicious users: 6 | test acc 0.7719 test loss 0.769578 best test_acc 0.9241
e 165 | malicious users: 7 | test acc 0.7960 test loss 0.716384 best test_acc 0.9241
e 166 | malicious users: 10 | test acc 0.2397 test loss 1.855513 best test_acc 0.9241
e 167 | malicious users: 8 | test acc 0.5367 test loss 1.349719 best test_acc 0.9241
e 168 | malicious users: 2 | test acc 0.8091 test loss 0.959145 best test_acc 0.9241
e 169 | malicious users: 4 | test acc 0.7916 test loss 0.892760 best test_acc 0.9241
e 170 | malicious users: 5 | test acc 0.8397 test loss 0.747005 best test_acc 0.9241
e 171 | malicious users: 7 | test acc 0.7655 test loss 0.924568 best test_acc 0.9241
e 172 | malicious users: 4 | test acc 0.7678 test loss 0.934852 best test_acc 0.9241
e 173 | malicious users: 9 | test acc 0.5033 test loss 1.251769 best test_acc 0.9241
e 174 | malicious users: 4 | test acc 0.6074 test loss 1.179391 best test_acc 0.9241
e 175 | malicious users: 7 | test acc 0.6554 test loss 0.979533 best test_acc 0.9241
e 176 | malicious users: 8 | test acc 0.7300 test loss 1.044994 best test_acc 0.9241
e 177 | malicious users: 6 | test acc 0.8364 test loss 0.909419 best test_acc 0.9241
e 178 | malicious users: 4 | test acc 0.7848 test loss 0.947844 best test_acc 0.9241
e 179 | malicious users: 8 | test acc 0.6399 test loss 1.027735 best test_acc 0.9241
e 180 | malicious users: 2 | test acc 0.8305 test loss 0.769019 best test_acc 0.9241
e 181 | malicious users: 8 | test acc 0.5213 test loss 1.591146 best test_acc 0.9241
e 182 | malicious users: 6 | test acc 0.7196 test loss 1.035380 best test_acc 0.9241
e 183 | malicious users: 2 | test acc 0.8425 test loss 0.846208 best test_acc 0.9241
e 184 | malicious users: 8 | test acc 0.7876 test loss 0.906738 best test_acc 0.9241
e 185 | malicious users: 6 | test acc 0.6793 test loss 0.950160 best test_acc 0.9241
e 186 | malicious users: 7 | test acc 0.7116 test loss 0.890792 best test_acc 0.9241
e 187 | malicious users: 4 | test acc 0.8992 test loss 0.855962 best test_acc 0.9241
e 188 | malicious users: 2 | test acc 0.9179 test loss 0.623784 best test_acc 0.9241
e 189 | malicious users: 5 | test acc 0.8880 test loss 0.912862 best test_acc 0.9241
e 190 | malicious users: 5 | test acc 0.8632 test loss 0.765599 best test_acc 0.9241
e 191 | malicious users: 2 | test acc 0.8908 test loss 0.707962 best test_acc 0.9241
e 192 | malicious users: 4 | test acc 0.9027 test loss 0.588823 best test_acc 0.9241
e 193 | malicious users: 3 | test acc 0.8510 test loss 0.764312 best test_acc 0.9241
e 194 | malicious users: 6 | test acc 0.8508 test loss 0.869855 best test_acc 0.9241
e 195 | malicious users: 6 | test acc 0.8925 test loss 0.716317 best test_acc 0.9241
e 196 | malicious users: 8 | test acc 0.4918 test loss 1.219879 best test_acc 0.9241
e 197 | malicious users: 4 | test acc 0.8499 test loss 0.808431 best test_acc 0.9241
e 198 | malicious users: 8 | test acc 0.4140 test loss 1.251512 best test_acc 0.9241
e 199 | malicious users: 5 | test acc 0.8345 test loss 0.858708 best test_acc 0.9241
e 200 | malicious users: 5 | test acc 0.8661 test loss 0.864052 best test_acc 0.9241
e 201 | malicious users: 4 | test acc 0.8439 test loss 0.759640 best test_acc 0.9241
e 202 | malicious users: 4 | test acc 0.8961 test loss 0.898073 best test_acc 0.9241
e 203 | malicious users: 5 | test acc 0.8911 test loss 0.765745 best test_acc 0.9241
e 204 | malicious users: 6 | test acc 0.6827 test loss 0.877481 best test_acc 0.9241
e 205 | malicious users: 4 | test acc 0.9081 test loss 0.663120 best test_acc 0.9241
e 206 | malicious users: 3 | test acc 0.9189 test loss 0.791449 best test_acc 0.9241
e 207 | malicious users: 3 | test acc 0.9068 test loss 0.676230 best test_acc 0.9241
e 208 | malicious users: 5 | test acc 0.9196 test loss 0.756118 best test_acc 0.9241
e 209 | malicious users: 8 | test acc 0.7843 test loss 0.940390 best test_acc 0.9241
e 210 | malicious users: 8 | test acc 0.7351 test loss 1.030656 best test_acc 0.9241
e 211 | malicious users: 6 | test acc 0.9189 test loss 0.779543 best test_acc 0.9241
e 212 | malicious users: 2 | test acc 0.9244 test loss 0.715146 best test_acc 0.9244
e 213 | malicious users: 7 | test acc 0.8476 test loss 0.677884 best test_acc 0.9244
e 214 | malicious users: 9 | test acc 0.5619 test loss 1.154378 best test_acc 0.9244
